FECHA;BTC;ORO
3/1/2017;1036.750461;1151
4/1/2017;1137.239897;1164.25
5/1/2017;1002.86;1176.7
6/1/2017;895.332963;1175.85
9/1/2017;901.407571;1178.5
10/1/2017;905.342814;1189.5
11/1/2017;778.83978;1178.55
12/1/2017;806.053828;1205.05
13/1/2017;827.310924;1190.35
16/1/2017;831.648372;1203
17/1/2017;905.013416;1216.05
18/1/2017;887.397051;1214.75
19/1/2017;902.151239;1196.05
20/1/2017;895.48432;1200.55
23/1/2017;914.99;1212.85
24/1/2017;886.142057;1216.8
25/1/2017;893.60059;1195
26/1/2017;915.431075;1189.7
27/1/2017;917.259501;1184.85
30/1/2017;919.543827;1192.8
31/1/2017;967.177316;1212.8
1/2/2017;983.683419;1203.65
2/2/2017;1007.271509;1221.95
3/2/2017;1016.512888;1215.2
6/2/2017;1023.212862;1226.75
7/2/2017;1052.411201;1231
8/2/2017;1052.015613;1242.1
9/2/2017;985.473695;1236.8
10/2/2017;995.552522;1228.3
13/2/2017;1000.296121;1222.25
14/2/2017;1012.546072;1230.75
15/2/2017;1013.547121;1224.4
16/2/2017;1035.50956;1240.55
17/2/2017;1055.786126;1241.95
20/2/2017;1088.965575;1237.3
21/2/2017;1128.325769;1233.2
22/2/2017;1128.462585;1236.65
23/2/2017;1185.995471;1247.9
24/2/2017;1185.91222;1253.65
27/2/2017;1195.174074;1257.2
28/2/2017;1190.498788;1255.6
1/3/2017;1229.458558;1240.4
2/3/2017;1257.639297;1238.1
3/3/2017;1289.034005;1226.5
6/3/2017;1279.930685;1230.95
7/3/2017;1232.654602;1216.65
8/3/2017;1149.577012;1209.2
9/3/2017;1190.701029;1206.55
10/3/2017;1113.99;1202.65
13/3/2017;1243.587215;1204.2
14/3/2017;1245;1204.6
15/3/2017;1257.852613;1198.8
16/3/2017;1174.776007;1229.35
17/3/2017;1070.077536;1229.6
20/3/2017;1039.352301;1232.4
21/3/2017;1114.714779;1241.6
22/3/2017;1038.140962;1249.05
23/3/2017;1029.479317;1247.5
